,iteration,posterior,likelihood,prior,no_admixes,add,descendant_sets,tree,admixtures,layer
0,0,-6313.405900386906,-6304.181985407224,-9.223914979682784,0,,s1-s1.s2.s3.s4-s1.s3.s4-s1.s4-s2-s3-s4,c.w.w.0-c.w.0-c.0;0.066077627-0.064541258-0.152503560-0.008609482-0.061157656-0.167396657;,;,0
1,40,-2590.1093876635673,-2581.2834331259583,-8.82595453760892,0,,s1-s1.s2.s3.s4-s1.s3-s1.s3.s4-s2-s3-s4,c.w.0.w-c.w.0-c.0;0.162259348-0.074574879-0.014953452-0.122271836-0.002130825-0.107931953;,;,0
2,80,-1229.8837949620358,-1195.1985696560369,-34.68522530599902,3,,s1-s1.s2.s3-s1.s2.s3.s4-s1.s3-s1.s3.s4-s2-s3-s4,w.w.a.w-c.w.a.w.0-a.w.w.w.w-c.0.c.w.w.2-w.c.1.w-w.c.1-c.0;0.063147721-0.083839689-0.045786100-0.018142862-0.003029007-0.025688129-0.006103019-0.003531750-0.007667614-0.009946550-0.092034806-0.013177747-0.046107930-0.101069326-0.017139445;0.228-0.073-0.731,x23b-x29b-x30b;0.731-0.228-0.073,0
3,120,-807.4460347748889,-761.2371432067739,-46.208891568114915,4,,s1-s1.s2.s3.s4-s1.s3-s1.s3.s4-s2-s3-s4,a.w.a.w-w.w.a.w.w.w-c.w.c.w.2.w.0-w.w.c.2.w-w.w.a.w-w.w.w.c.3-w.c.w.1-c.0.w-c.0;0.085143587-0.014088205-0.091593192-0.008591300-0.047489552-0.010364863-0.019072778-0.011424964-0.102377551-0.011899687-0.073937028-0.049782953-0.005060599-0.002319038-0.016369513-0.001836724-0.089110026-0.016552020;0.041-0.651-0.733-0.324,x23b-x29b-x32b-x39b;0.041-0.733-0.324-0.651,0
4,160,-677.7471230670114,-631.0958211444886,-46.65130192252284,4,,s1-s1.s2.s3.s4-s1.s3.s4-s1.s4-s2-s3-s3.s4-s4,w.w.a.a-c.w.c.0.w.2-a.w.w.w-w.w.w.c.3-w.c.w.1-w.a.w-w.w.c.2-w.c.1-c.0;0.012758266-0.075282807-0.104222176-0.103425697-0.049879649-0.071851835-0.011849217-0.073477622-0.052317005-0.004996947-0.002572379-0.000388628-0.015107243-0.071219359-0.001921590-0.004180758-0.016535604-0.096362760;0.080-0.644-0.427-0.663,x32b-x39b-x45b-x48b;0.427-0.080-0.663-0.644,0
5,200,-483.40583930848493,-424.66425440886815,-58.74158489961676,5,,s1-s1.s2.s3.s4-s1.s3.s4-s1.s4-s2-s3-s3.s4-s4,w.w.a.a-c.w.c.0.w.2-a.w.w.w-w.w.w.c.3-w.c.w.1-w.a.w-w.w.w.a-w.c.c.1.2-w.c.1-c.0;0.010775541-0.076103784-0.104553548-0.102645633-0.048457438-0.071860608-0.010177161-0.076099674-0.055246481-0.005383677-0.003026041-0.001894455-0.071749893-0.001917956-0.017669860-0.003778481-0.000218793-0.084014845-0.102611284-0.018292965-0.015946491;0.080-0.644-0.427-0.663-0.186,x32b-x39b-x45b-x48b-x56b;0.427-0.080-0.663-0.644-0.186,0
6,240,-505.30891866719037,-421.24767426876133,-84.06124439842901,7,,s1-s1.s2.s3.s4-s1.s2.s4-s1.s3.s4-s1.s4-s2-s3-s4,a.w.w.a-w.w.w.w.c.4-w.w.w.w.a-w.c.w.w.1.a-w.w.c.w.w.2-w.c.1.w.w-w.a.w.w-w.w.w.w.a-w.w.w.w.a.w-w.c.c.w.1.w.2-c.w.0.w.w-c.w.w.0-c.0.w-c.0;0.031398333-0.086089356-0.074010308-0.033314777-0.001619221-0.001336492-0.035851133-0.013766403-0.076025777-0.055730154-0.003990380-0.003082230-0.001421696-0.071176126-0.002046255-0.002359850-0.003396907-0.000618615-0.006758516-0.111956516-0.022450263-0.004267777-0.102075580-0.000751142-0.085092416-0.022888826-0.017740074;0.172-0.250-0.282-0.489-0.888-0.297-0.858,x32b-x45b-x56b-x71b-x72b-x74b-x77b;0.489-0.888-0.297-0.172-0.250-0.858-0.282,0
7,280,-541.2453038313369,-429.71391713865887,-111.53138669267803,9,,s1-s1.s2.s3.s4-s1.s2.s4-s1.s3.s4-s1.s4-s2-s3-s4,a.w.w.a-w.w.w.w.w.a-w.w.w.w.c.4.w-w.w.w.w.a.w-w.w.w.w.w.w.a-w.w.c.w.w.w.2.a-w.w.w.w.w.c.w.5-w.w.w.w.c.4.w-w.c.w.w.1.w-w.c.1.w.w-w.a.w.w-w.w.w.w.a-c.w.w.c.0.3-w.w.w.a-w.c.c.1.2-w.c.1-c.0;0.032089756-0.087383095-0.022199842-0.073757523-0.015742648-0.002090198-0.018533525-0.075981967-0.094740198-0.000307034-0.095722852-0.000111895-0.024116590-0.007860333-0.001092716-0.013110972-0.004985380-0.002557271-0.000508739-0.040735553-0.032151387-0.021779295-0.004784419-0.040385103-0.017524267-0.003128120-0.001431713-0.001840033-0.008284254-0.086280593-0.026256808-0.078991502-0.006931396;0.683-0.758-0.549-0.345-0.414-0.187-0.948-0.323-0.845,x45b-x71b-x72b-x74b-x77b-x78b-x83b-x84b-x85b;0.948-0.683-0.758-0.845-0.345-0.414-0.323-0.549-0.187,0
8,320,-357.56782072029654,-286.82635696843136,-70.74146375186517,6,,s1-s1.s2.s3.s4-s1.s2.s4-s1.s4-s2-s3-s4,a.w.w.a-w.w.w.w.c.4-w.w.w.w.a-c.w.w.w.a.0-w.c.w.w.a.1-w.c.1.w.w.w-w.a.w.w.w-w.c.w.c.1.3-w.c.1.w-w.c.1-c.0;0.031960509-0.088478518-0.071514338-0.029862549-0.001481509-0.091031025-0.015080176-0.121051039-0.001056859-0.039721917-0.023454307-0.005278700-0.078099871-0.001864178-0.011377253-0.000538518-0.000041065-0.000367980-0.006477259-0.000192408-0.027820129-0.085864365-0.020370159-0.000382897;0.267-0.950-0.778-0.555-0.531-0.191,x71b-x72b-x74b-x85b-x87b-x89b;0.267-0.950-0.531-0.555-0.778-0.191,0
9,360,-307.3754445476507,-236.87980508531837,-70.49563946233235,6,,s1-s1.s2.s3.s4-s1.s2.s4-s1.s4-s2-s3-s4,a.w.w.a-c.w.w.w.a.0-a.w.w.w.w.w-c.c.w.w.0.w.1-a.c.1.w.w-w.a.w.w.w-c.c.w.w.1.0-w.c.1.w-w.c.1-c.0;0.078054896-0.088184943-0.001943532-0.086125033-0.029699687-0.013854893-0.035477901-0.001040672-0.024302849-0.018802173-0.003798994-0.009643674-0.078341124-0.002618729-0.000365851-0.011597987-0.000180121-0.000132342-0.006052000-0.000140904-0.028217675-0.063678485-0.086214073-0.002294887;0.744-0.512-0.701-0.155-0.998-0.736,x72b-x74b-x85b-x87b-x89b-x91b;0.512-0.998-0.155-0.744-0.736-0.701,0
